date,ticker,gap,reason,ret,cap_full,cap_half
2026-05-01,ESPR,0.565,TIME(10:00),-0.0053,99.47,99.73
2026-05-04,GBTG,0.5691,TIME(10:00),0.007,100.17,100.08
2026-05-05,CLRB,0.5936,TIME(10:00),-0.0966,90.49,95.25
2026-05-06,AHMA,0.6,TIME(10:00),-0.1364,78.15,88.75
2026-05-07,RMSG,0.2879,TIME(10:00),-0.0785,72.01,85.27
2026-05-08,WEST,0.1644,TIME(10:00),0.1923,85.86,93.47
2026-05-11,DKI,14.5357,NO TRADE (gap>=200%),0.0,85.86,93.47
2026-05-12,CNCK,0.3686,TIME(10:00),-0.0385,82.56,91.67
2026-05-13,FCHL,0.3985,TIME(10:00),0.1828,97.65,100.05
2026-05-14,YOOV,1.0346,SL,-0.2,78.12,90.04
2026-05-15,AUUD,0.7131,TIME(10:00),-0.0144,76.99,89.4
2026-05-18,HCAI,0.6318,TIME(10:00),-0.0033,76.74,89.25
2026-05-19,RUBI,1.0289,SL,-0.2,61.39,80.32
2026-05-20,PETZ,0.321,TIME(10:00),0.0788,66.23,83.49
2026-05-21,NIVF,0.4073,TIME(10:00),0.2762,84.52,95.02
2026-05-22,BIYA,0.8204,TIME(10:00),0.0492,88.68,97.35
2026-05-26,QTEX,1.1458,TIME(10:00),-0.125,77.59,91.27
2026-05-27,AMSS,1.0978,TIME(10:00),-0.0509,73.64,88.95
2026-05-28,ATPC,1.0246,TIME(10:00),0.0198,75.1,89.83
2026-05-29,PRFX,2.4599,NO TRADE (gap>=200%),0.0,75.1,89.83
2026-06-01,HKIT,1.1884,TP,0.4,105.14,107.79
2026-06-02,DXST,0.8562,TP,0.4,147.2,129.35
2026-06-03,SDOT,0.8537,TIME(10:00),0.2048,177.35,142.6
2026-06-04,TWAV,0.5775,TIME(10:00),-0.0045,176.55,142.28
2026-06-05,RMSG,1.9682,TIME(10:00),-0.1361,152.52,132.6
2026-06-08,GMHS,0.5708,TIME(10:00),-0.1017,137.01,125.85
2026-06-09,CHAI,3.3537,NO TRADE (gap>=200%),0.0,137.01,125.85
2026-06-10,VSME,3.4957,NO TRADE (gap>=200%),0.0,137.01,125.85
2026-06-11,GLXG,1.6127,TP,0.4,191.81,151.02
2026-06-12,DSY,0.7732,SL,-0.2,153.45,135.92
